query_id,source_dataset,subject,query,level,rank_within_level,topic,annotator_id,topic_relevance_0_3
MED084,MedMCQA,Biochemistry,Organelles,basic,1,Definition and classification of organelles,A2,2
MED084,MedMCQA,Biochemistry,Organelles,basic,2,Major eukaryotic organelles and their primary functions,A2,3
MED084,MedMCQA,Biochemistry,Organelles,basic,3,"Organelle structure: membranes, matrix, and protein composition",A2,3
MED084,MedMCQA,Biochemistry,Organelles,basic,4,Organelle localization within the cell,A2,3
MED084,MedMCQA,Biochemistry,Organelles,basic,5,Differences between prokaryotic and eukaryotic organelles,A2,3
MED084,MedMCQA,Biochemistry,Organelles,intermediate,1,Organelle biogenesis and protein import pathways,A2,2
MED084,MedMCQA,Biochemistry,Organelles,intermediate,2,Inter-organelle communication and signaling,A2,3
MED084,MedMCQA,Biochemistry,Organelles,intermediate,3,"Organelle dynamics: fission, fusion, motility",A2,1
MED084,MedMCQA,Biochemistry,Organelles,intermediate,4,"Organelle-specific metabolic pathways (e.g., mitochondria respiration, chloroplast photosynthesis)",A2,3
MED084,MedMCQA,Biochemistry,Organelles,intermediate,5,Organelle genome maintenance and replication,A2,2
MED084,MedMCQA,Biochemistry,Organelles,advanced,1,Evolutionary origins and endosymbiotic theory of organelles,A2,3
MED084,MedMCQA,Biochemistry,Organelles,advanced,2,Organelle-targeting signals and sorting mechanisms,A2,3
MED084,MedMCQA,Biochemistry,Organelles,advanced,3,Organelle dysfunction in disease and therapeutic strategies,A2,3
MED084,MedMCQA,Biochemistry,Organelles,advanced,4,Synthetic biology approaches to engineer artificial organelles,A2,3
MED084,MedMCQA,Biochemistry,Organelles,advanced,5,Organelle-based nanotechnology and subcellular compartmentalization,A2,3
MED015,MedMCQA,Physiology,Muscle,basic,1,Types of muscle tissue,A2,2
MED015,MedMCQA,Physiology,Muscle,basic,2,Muscle contraction mechanism,A2,3
MED015,MedMCQA,Physiology,Muscle,basic,3,Muscle anatomy and structure,A2,3
MED015,MedMCQA,Physiology,Muscle,basic,4,Role of muscle in movement,A2,2
MED015,MedMCQA,Physiology,Muscle,basic,5,Basic muscle physiology,A2,2
MED015,MedMCQA,Physiology,Muscle,intermediate,1,Neuromuscular junction and signal transmission,A2,2
MED015,MedMCQA,Physiology,Muscle,intermediate,2,Muscle fiber recruitment and force production,A2,3
MED015,MedMCQA,Physiology,Muscle,intermediate,3,Energy metabolism in muscle,A2,3
MED015,MedMCQA,Physiology,Muscle,intermediate,4,Muscle adaptation to training,A2,2
MED015,MedMCQA,Physiology,Muscle,intermediate,5,Muscle fatigue and recovery mechanisms,A2,3
MED015,MedMCQA,Physiology,Muscle,advanced,1,Molecular regulation of muscle growth,A2,2
MED015,MedMCQA,Physiology,Muscle,advanced,2,Muscle fiber type plasticity and gene expression,A2,2
MED015,MedMCQA,Physiology,Muscle,advanced,3,Biomechanical modeling of muscle function,A2,3
MED015,MedMCQA,Physiology,Muscle,advanced,4,Pathophysiology of muscle disorders,A2,3
MED015,MedMCQA,Physiology,Muscle,advanced,5,Advanced muscle imaging and diagnostics,A2,3
MED004,MedMCQA,Dental,Cells of epidermis,basic,1,Keratinocytes,A2,2
MED004,MedMCQA,Dental,Cells of epidermis,basic,2,Melanocytes,A2,3
MED004,MedMCQA,Dental,Cells of epidermis,basic,3,Langerhans cells,A2,3
MED004,MedMCQA,Dental,Cells of epidermis,basic,4,Merkel cells,A2,3
MED004,MedMCQA,Dental,Cells of epidermis,basic,5,Sebaceous gland cells,A2,3
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,1,Keratinization and cornification,A2,3
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,2,Melanin synthesis and transfer to keratinocytes,A2,3
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,3,Antigen presentation by Langerhans cells,A2,2
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,4,Mechanotransduction by Merkel cells,A2,2
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,5,Lipid secretion by sebaceous glands,A2,3
MED004,MedMCQA,Dental,Cells of epidermis,advanced,1,Epidermal stem cell niches and lineage commitment,A2,3
MED004,MedMCQA,Dental,Cells of epidermis,advanced,2,"Signaling pathways controlling keratinocyte differentiation (Notch, Wnt)",A2,2
MED004,MedMCQA,Dental,Cells of epidermis,advanced,3,Epidermal‑dermal cross‑talk and extracellular matrix remodeling,A2,3
MED004,MedMCQA,Dental,Cells of epidermis,advanced,4,"Cellular mechanisms underlying epidermal diseases (psoriasis, atopic dermatitis)",A2,2
MED004,MedMCQA,Dental,Cells of epidermis,advanced,5,Bioengineering of skin substitutes using epidermal cells,A2,2
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,1,"Freud's structural model: id, ego, superego",A2,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,2,The unconscious mind and repression,A2,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,3,Psychosexual development stages,A2,2
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,4,Dream symbolism and interpretation,A2,2
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,5,Free association technique,A2,2
