measure,annotator_pair,weighted_kappa,n_items
topic_relevance,A1-A2,-0.021643557659790202,741
topic_relevance,A1-A3,-0.09782520643527204,741
topic_relevance,A2-A3,0.07651162790697674,741
coherence_0_3,A1-A2,-0.15156017830609225,50
coherence_0_3,A1-A3,0.2152466367713004,50
coherence_0_3,A2-A3,-0.15830115830115843,50
level_appropriateness_0_3,A1-A2,0.09217877094972071,50
level_appropriateness_0_3,A1-A3,0.21259842519685046,50
level_appropriateness_0_3,A2-A3,0.025069637883008422,50
progression_0_3,A1-A2,-0.08401084010840099,50
progression_0_3,A1-A3,0.12844036697247718,50
progression_0_3,A2-A3,0.01273885350318471,50
non_redundancy_0_3,A1-A2,0.17664670658682635,50
non_redundancy_0_3,A1-A3,0.043843283582089554,50
non_redundancy_0_3,A2-A3,-0.003824091778202643,50
