query_id,source_dataset,subject,query,level,rank_within_level,topic,annotator_id,topic_relevance_0_3
MED084,MedMCQA,Biochemistry,Organelles,basic,1,Definition and classification of organelles,A3,3
MED084,MedMCQA,Biochemistry,Organelles,basic,2,Major eukaryotic organelles and their primary functions,A3,3
MED084,MedMCQA,Biochemistry,Organelles,basic,3,"Organelle structure: membranes, matrix, and protein composition",A3,3
MED084,MedMCQA,Biochemistry,Organelles,basic,4,Organelle localization within the cell,A3,3
MED084,MedMCQA,Biochemistry,Organelles,basic,5,Differences between prokaryotic and eukaryotic organelles,A3,2
MED084,MedMCQA,Biochemistry,Organelles,intermediate,1,Organelle biogenesis and protein import pathways,A3,2
MED084,MedMCQA,Biochemistry,Organelles,intermediate,2,Inter-organelle communication and signaling,A3,3
MED084,MedMCQA,Biochemistry,Organelles,intermediate,3,"Organelle dynamics: fission, fusion, motility",A3,2
MED084,MedMCQA,Biochemistry,Organelles,intermediate,4,"Organelle-specific metabolic pathways (e.g., mitochondria respiration, chloroplast photosynthesis)",A3,3
MED084,MedMCQA,Biochemistry,Organelles,intermediate,5,Organelle genome maintenance and replication,A3,3
MED084,MedMCQA,Biochemistry,Organelles,advanced,1,Evolutionary origins and endosymbiotic theory of organelles,A3,2
MED084,MedMCQA,Biochemistry,Organelles,advanced,2,Organelle-targeting signals and sorting mechanisms,A3,3
MED084,MedMCQA,Biochemistry,Organelles,advanced,3,Organelle dysfunction in disease and therapeutic strategies,A3,3
MED084,MedMCQA,Biochemistry,Organelles,advanced,4,Synthetic biology approaches to engineer artificial organelles,A3,3
MED084,MedMCQA,Biochemistry,Organelles,advanced,5,Organelle-based nanotechnology and subcellular compartmentalization,A3,3
MED015,MedMCQA,Physiology,Muscle,basic,1,Types of muscle tissue,A3,3
MED015,MedMCQA,Physiology,Muscle,basic,2,Muscle contraction mechanism,A3,3
MED015,MedMCQA,Physiology,Muscle,basic,3,Muscle anatomy and structure,A3,2
MED015,MedMCQA,Physiology,Muscle,basic,4,Role of muscle in movement,A3,3
MED015,MedMCQA,Physiology,Muscle,basic,5,Basic muscle physiology,A3,3
MED015,MedMCQA,Physiology,Muscle,intermediate,1,Neuromuscular junction and signal transmission,A3,2
MED015,MedMCQA,Physiology,Muscle,intermediate,2,Muscle fiber recruitment and force production,A3,2
MED015,MedMCQA,Physiology,Muscle,intermediate,3,Energy metabolism in muscle,A3,2
MED015,MedMCQA,Physiology,Muscle,intermediate,4,Muscle adaptation to training,A3,2
MED015,MedMCQA,Physiology,Muscle,intermediate,5,Muscle fatigue and recovery mechanisms,A3,3
MED015,MedMCQA,Physiology,Muscle,advanced,1,Molecular regulation of muscle growth,A3,3
MED015,MedMCQA,Physiology,Muscle,advanced,2,Muscle fiber type plasticity and gene expression,A3,2
MED015,MedMCQA,Physiology,Muscle,advanced,3,Biomechanical modeling of muscle function,A3,3
MED015,MedMCQA,Physiology,Muscle,advanced,4,Pathophysiology of muscle disorders,A3,2
MED015,MedMCQA,Physiology,Muscle,advanced,5,Advanced muscle imaging and diagnostics,A3,2
MED004,MedMCQA,Dental,Cells of epidermis,basic,1,Keratinocytes,A3,3
MED004,MedMCQA,Dental,Cells of epidermis,basic,2,Melanocytes,A3,3
MED004,MedMCQA,Dental,Cells of epidermis,basic,3,Langerhans cells,A3,3
MED004,MedMCQA,Dental,Cells of epidermis,basic,4,Merkel cells,A3,3
MED004,MedMCQA,Dental,Cells of epidermis,basic,5,Sebaceous gland cells,A3,3
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,1,Keratinization and cornification,A3,3
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,2,Melanin synthesis and transfer to keratinocytes,A3,3
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,3,Antigen presentation by Langerhans cells,A3,3
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,4,Mechanotransduction by Merkel cells,A3,3
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,5,Lipid secretion by sebaceous glands,A3,2
MED004,MedMCQA,Dental,Cells of epidermis,advanced,1,Epidermal stem cell niches and lineage commitment,A3,2
MED004,MedMCQA,Dental,Cells of epidermis,advanced,2,"Signaling pathways controlling keratinocyte differentiation (Notch, Wnt)",A3,2
MED004,MedMCQA,Dental,Cells of epidermis,advanced,3,Epidermal‑dermal cross‑talk and extracellular matrix remodeling,A3,3
MED004,MedMCQA,Dental,Cells of epidermis,advanced,4,"Cellular mechanisms underlying epidermal diseases (psoriasis, atopic dermatitis)",A3,2
MED004,MedMCQA,Dental,Cells of epidermis,advanced,5,Bioengineering of skin substitutes using epidermal cells,A3,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,1,"Freud's structural model: id, ego, superego",A3,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,2,The unconscious mind and repression,A3,2
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,3,Psychosexual development stages,A3,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,4,Dream symbolism and interpretation,A3,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,5,Free association technique,A3,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,intermediate,1,"Defense mechanisms: repression, denial, projection",A3,2
MED097,MedMCQA,Psychiatry,Psychoanalysis,intermediate,2,Transference and countertransference dynamics,A3,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,intermediate,3,Attachment theory integration in psychoanalysis,A3,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,intermediate,4,Case formulation and treatment planning,A3,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,intermediate,5,Oedipus complex and its clinical relevance,A3,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,advanced,1,Object relations theory and its clinical applications,A3,2
MED097,MedMCQA,Psychiatry,Psychoanalysis,advanced,2,Self psychology and ego development,A3,2
MED097,MedMCQA,Psychiatry,Psychoanalysis,advanced,3,Psychoanalytic treatment of complex trauma,A3,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,advanced,4,Neuroscientific integration of psychoanalytic concepts,A3,2
MED097,MedMCQA,Psychiatry,Psychoanalysis,advanced,5,Comparative analysis of psychoanalytic schools and contemporary theories,A3,2
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,basic,1,Ion concentration gradients,A3,3
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,basic,2,Resting membrane potential,A3,3
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,basic,3,Membrane permeability,A3,3
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,basic,4,Electrochemical gradient,A3,2
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,basic,5,Ion channel types,A3,3
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,intermediate,1,Action potential initiation,A3,3
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,intermediate,2,Voltage-gated sodium and potassium channels,A3,2
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,intermediate,3,Hodgkin‑Huxley equations,A3,3
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,intermediate,4,Refractory periods,A3,3
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,intermediate,5,Signal propagation along axons,A3,3
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,intermediate,6,Synaptic integration,A3,1
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,advanced,1,Computational modeling of neuronal dynamics,A3,3
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,advanced,2,Myelination and saltatory conduction,A3,3
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,advanced,3,Neuromodulation of action potentials,A3,3
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,advanced,4,Pathophysiology of membrane potential disorders,A3,0
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,advanced,5,Advanced electrophysiological recording techniques,A3,2
MED032,MedMCQA,Orthopaedics,Hyperparathyroidism,basic,1,Definition and overview of hyperparathyroidism,A3,2
MED032,MedMCQA,Orthopaedics,Hyperparathyroidism,basic,2,Role of parathyroid hormone (PTH) in calcium homeostasis,A3,2
MED032,MedMCQA,Orthopaedics,Hyperparathyroidism,basic,3,Common causes and risk factors,A3,3
MED032,MedMCQA,Orthopaedics,Hyperparathyroidism,basic,4,Clinical presentation and symptoms,A3,3
MED032,MedMCQA,Orthopaedics,Hyperparathyroidism,basic,5,"Basic laboratory tests (serum calcium, PTH, phosphate)",A3,2
MED032,MedMCQA,Orthopaedics,Hyperparathyroidism,intermediate,1,"Primary, secondary, and tertiary hyperparathyroidism distinctions",A3,3
MED032,MedMCQA,Orthopaedics,Hyperparathyroidism,intermediate,2,"Pathophysiology of PTH excess on bone, kidney, and intestine",A3,2
MED032,MedMCQA,Orthopaedics,Hyperparathyroidism,intermediate,3,"Imaging techniques for parathyroid localization (ultrasound, sestamibi scan)",A3,3
MED032,MedMCQA,Orthopaedics,Hyperparathyroidism,intermediate,4,Surgical management: parathyroidectomy indications and techniques,A3,3
MED032,MedMCQA,Orthopaedics,Hyperparathyroidism,intermediate,5,"Medical management options (vitamin D, bisphosphonates, calcimimetics)",A3,3
MED032,MedMCQA,Orthopaedics,Hyperparathyroidism,intermediate,6,"Complications: bone disease, kidney stones, neuropsychiatric effects",A3,3
