query_id,source_dataset,subject,query,basic,intermediate,advanced,annotator_id,coherence_0_3,level_appropriateness_0_3,progression_0_3,non_redundancy_0_3
MED084,MedMCQA,Biochemistry,Organelles,"Definition and classification of organelles | Major eukaryotic organelles and their primary functions | Organelle structure: membranes, matrix, and protein composition | Organelle localization within the cell | Differences between prokaryotic and eukaryotic organelles","Organelle biogenesis and protein import pathways | Inter-organelle communication and signaling | Organelle dynamics: fission, fusion, motility | Organelle-specific metabolic pathways (e.g., mitochondria respiration, chloroplast photosynthesis) | Organelle genome maintenance and replication",Evolutionary origins and endosymbiotic theory of organelles | Organelle-targeting signals and sorting mechanisms | Organelle dysfunction in disease and therapeutic strategies | Synthetic biology approaches to engineer artificial organelles | Organelle-based nanotechnology and subcellular compartmentalization,A3,1,3,3,3
MED015,MedMCQA,Physiology,Muscle,Types of muscle tissue | Muscle contraction mechanism | Muscle anatomy and structure | Role of muscle in movement | Basic muscle physiology,Neuromuscular junction and signal transmission | Muscle fiber recruitment and force production | Energy metabolism in muscle | Muscle adaptation to training | Muscle fatigue and recovery mechanisms,Molecular regulation of muscle growth | Muscle fiber type plasticity and gene expression | Biomechanical modeling of muscle function | Pathophysiology of muscle disorders | Advanced muscle imaging and diagnostics,A3,3,3,3,2
MED004,MedMCQA,Dental,Cells of epidermis,Keratinocytes | Melanocytes | Langerhans cells | Merkel cells | Sebaceous gland cells,Keratinization and cornification | Melanin synthesis and transfer to keratinocytes | Antigen presentation by Langerhans cells | Mechanotransduction by Merkel cells | Lipid secretion by sebaceous glands,"Epidermal stem cell niches and lineage commitment | Signaling pathways controlling keratinocyte differentiation (Notch, Wnt) | Epidermal‑dermal cross‑talk and extracellular matrix remodeling | Cellular mechanisms underlying epidermal diseases (psoriasis, atopic dermatitis) | Bioengineering of skin substitutes using epidermal cells",A3,3,3,3,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,"Freud's structural model: id, ego, superego | The unconscious mind and repression | Psychosexual development stages | Dream symbolism and interpretation | Free association technique","Defense mechanisms: repression, denial, projection | Transference and countertransference dynamics | Attachment theory integration in psychoanalysis | Case formulation and treatment planning | Oedipus complex and its clinical relevance",Object relations theory and its clinical applications | Self psychology and ego development | Psychoanalytic treatment of complex trauma | Neuroscientific integration of psychoanalytic concepts | Comparative analysis of psychoanalytic schools and contemporary theories,A3,3,3,2,3
MED036,MedMCQA,Physiology,Membrane Potentials and Action Potentials,Ion concentration gradients | Resting membrane potential | Membrane permeability | Electrochemical gradient | Ion channel types,Action potential initiation | Voltage-gated sodium and potassium channels | Hodgkin‑Huxley equations | Refractory periods | Signal propagation along axons | Synaptic integration,Computational modeling of neuronal dynamics | Myelination and saltatory conduction | Neuromodulation of action potentials | Pathophysiology of membrane potential disorders | Advanced electrophysiological recording techniques,A3,3,3,2,2
MED032,MedMCQA,Orthopaedics,Hyperparathyroidism,"Definition and overview of hyperparathyroidism | Role of parathyroid hormone (PTH) in calcium homeostasis | Common causes and risk factors | Clinical presentation and symptoms | Basic laboratory tests (serum calcium, PTH, phosphate)","Primary, secondary, and tertiary hyperparathyroidism distinctions | Pathophysiology of PTH excess on bone, kidney, and intestine | Imaging techniques for parathyroid localization (ultrasound, sestamibi scan) | Surgical management: parathyroidectomy indications and techniques | Medical management options (vitamin D, bisphosphonates, calcimimetics) | Complications: bone disease, kidney stones, neuropsychiatric effects","Genetic syndromes associated with hyperparathyroidism (MEN1, MEN2A, HPT‑JT) | Molecular mechanisms of PTH receptor signaling and resistance | Novel pharmacotherapies: calcimimetics, PTH analogs, targeted agents | Advanced imaging and intraoperative navigation techniques | Long‑term outcomes and quality of life post‑treatment | Research directions: bone remodeling biomarkers, endocrine crosstalk, precision medicine",A3,3,3,3,1
MED029,MedMCQA,Medicine,Peripheral Nerve & Muscles,Anatomy of peripheral nerves | Types of muscle fibers (slow vs fast) | Neuromuscular junction function | Motor unit organization | Basics of muscle contraction,"Peripheral nerve injury mechanisms and classification | Excitation–contraction coupling in skeletal muscle | Muscle fiber recruitment and force production | Nerve conduction studies and interpretation | Common neuromuscular disorders (e.g., myasthenia gravis, peripheral neuropathies)","Surgical and bioengineering approaches to peripheral nerve repair | Molecular pathways of nerve regeneration and axonal guidance | Advanced imaging techniques for peripheral nerves (e.g., high‑resolution ultrasound, diffusion tensor imaging) | Muscle plasticity and adaptive remodeling in response to training or disease | Neuroprosthetic interfaces and functional electrical stimulation for muscle re‑innervation | Gene therapy strategies for inherited neuromuscular disorders",A3,3,2,3,3
MED018,MedMCQA,Skin,Gram-Positive Infections - Staphylococcal Infections,Gram‑positive bacterial cell wall structure | Staphylococcus genus and common species | Modes of staphylococcal transmission | Typical clinical presentations of staphylococcal infections | Basic antibiotic susceptibility testing | Fundamental infection control practices,"Pathogenic mechanisms of Staphylococcus aureus (adhesion, toxins) | Epidemiology and spread of MRSA | Mechanisms of antibiotic resistance in staphylococci | Diagnostic techniques (culture, PCR, MALDI‑TOF) | Treatment guidelines for staphylococcal infections | Host immune response to staphylococcal infection | Infection control strategies in healthcare settings","Molecular epidemiology of MRSA (spa typing, SCCmec) | Biofilm formation and therapeutic disruption | Novel antimicrobials (phage therapy, antimicrobial peptides) | Genomic surveillance for outbreak investigation | Vaccine research and development for staphylococcal infections | Antimicrobial stewardship optimization algorithms | Host‑pathogen interaction at the molecular level",A3,3,3,2,2
MED014,MedMCQA,Pharmacology,Seedatives & Hyponotics,Definition of sedatives and hypnotics | Classification of sedatives and hypnotics | Common examples of sedatives | Common examples of hypnotics | Basic pharmacokinetic concepts,Mechanisms of action of GABAergic sedatives | Mechanisms of action of benzodiazepines and non‑benzodiazepine hypnotics | Therapeutic uses of sedatives and hypnotics | Common side effects and withdrawal considerations | Basic drug interaction principles,"Neuropharmacology of GABA‑A receptor subtypes | Development of novel hypnotic agents (e.g., orexin antagonists) | Clinical decision‑making algorithms for sedation and sleep disorders | Personalized medicine approaches in sedative/hypnotic therapy | Current research trends in sedative/hypnotic pharmacology",A3,3,3,3,2
MED089,MedMCQA,Medicine,Disease of pericardium,Pericardial anatomy and function | Common pericardial disorders | Clinical presentation of pericardial disease | Initial diagnostic evaluation,Causes and mechanisms of pericarditis | Hemodynamic impact of pericardial effusion | Imaging techniques for pericardial assessment | Standard treatment protocols,Cellular and molecular pathways in pericardial inflammation | Advanced imaging biomarkers for pericardial disease | Emerging therapies and interventional techniques | Current research trends and future directions,A3,3,3,3,3
