query_id,source_dataset,subject,query,level,rank_within_level,topic,annotator_id,topic_relevance_0_3
MED084,MedMCQA,Biochemistry,Organelles,basic,1,Definition and classification of organelles,A1,3
MED084,MedMCQA,Biochemistry,Organelles,basic,2,Major eukaryotic organelles and their primary functions,A1,3
MED084,MedMCQA,Biochemistry,Organelles,basic,3,"Organelle structure: membranes, matrix, and protein composition",A1,3
MED084,MedMCQA,Biochemistry,Organelles,basic,4,Organelle localization within the cell,A1,3
MED084,MedMCQA,Biochemistry,Organelles,basic,5,Differences between prokaryotic and eukaryotic organelles,A1,3
MED084,MedMCQA,Biochemistry,Organelles,intermediate,1,Organelle biogenesis and protein import pathways,A1,3
MED084,MedMCQA,Biochemistry,Organelles,intermediate,2,Inter-organelle communication and signaling,A1,3
MED084,MedMCQA,Biochemistry,Organelles,intermediate,3,"Organelle dynamics: fission, fusion, motility",A1,3
MED084,MedMCQA,Biochemistry,Organelles,intermediate,4,"Organelle-specific metabolic pathways (e.g., mitochondria respiration, chloroplast photosynthesis)",A1,2
MED084,MedMCQA,Biochemistry,Organelles,intermediate,5,Organelle genome maintenance and replication,A1,2
MED084,MedMCQA,Biochemistry,Organelles,advanced,1,Evolutionary origins and endosymbiotic theory of organelles,A1,3
MED084,MedMCQA,Biochemistry,Organelles,advanced,2,Organelle-targeting signals and sorting mechanisms,A1,3
MED084,MedMCQA,Biochemistry,Organelles,advanced,3,Organelle dysfunction in disease and therapeutic strategies,A1,3
MED084,MedMCQA,Biochemistry,Organelles,advanced,4,Synthetic biology approaches to engineer artificial organelles,A1,3
MED084,MedMCQA,Biochemistry,Organelles,advanced,5,Organelle-based nanotechnology and subcellular compartmentalization,A1,2
MED015,MedMCQA,Physiology,Muscle,basic,1,Types of muscle tissue,A1,3
MED015,MedMCQA,Physiology,Muscle,basic,2,Muscle contraction mechanism,A1,3
MED015,MedMCQA,Physiology,Muscle,basic,3,Muscle anatomy and structure,A1,3
MED015,MedMCQA,Physiology,Muscle,basic,4,Role of muscle in movement,A1,3
MED015,MedMCQA,Physiology,Muscle,basic,5,Basic muscle physiology,A1,3
MED015,MedMCQA,Physiology,Muscle,intermediate,1,Neuromuscular junction and signal transmission,A1,3
MED015,MedMCQA,Physiology,Muscle,intermediate,2,Muscle fiber recruitment and force production,A1,3
MED015,MedMCQA,Physiology,Muscle,intermediate,3,Energy metabolism in muscle,A1,3
MED015,MedMCQA,Physiology,Muscle,intermediate,4,Muscle adaptation to training,A1,3
MED015,MedMCQA,Physiology,Muscle,intermediate,5,Muscle fatigue and recovery mechanisms,A1,3
MED015,MedMCQA,Physiology,Muscle,advanced,1,Molecular regulation of muscle growth,A1,3
MED015,MedMCQA,Physiology,Muscle,advanced,2,Muscle fiber type plasticity and gene expression,A1,3
MED015,MedMCQA,Physiology,Muscle,advanced,3,Biomechanical modeling of muscle function,A1,3
MED015,MedMCQA,Physiology,Muscle,advanced,4,Pathophysiology of muscle disorders,A1,3
MED015,MedMCQA,Physiology,Muscle,advanced,5,Advanced muscle imaging and diagnostics,A1,2
MED004,MedMCQA,Dental,Cells of epidermis,basic,1,Keratinocytes,A1,1
MED004,MedMCQA,Dental,Cells of epidermis,basic,2,Melanocytes,A1,3
MED004,MedMCQA,Dental,Cells of epidermis,basic,3,Langerhans cells,A1,3
MED004,MedMCQA,Dental,Cells of epidermis,basic,4,Merkel cells,A1,2
MED004,MedMCQA,Dental,Cells of epidermis,basic,5,Sebaceous gland cells,A1,3
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,1,Keratinization and cornification,A1,2
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,2,Melanin synthesis and transfer to keratinocytes,A1,3
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,3,Antigen presentation by Langerhans cells,A1,3
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,4,Mechanotransduction by Merkel cells,A1,3
MED004,MedMCQA,Dental,Cells of epidermis,intermediate,5,Lipid secretion by sebaceous glands,A1,3
MED004,MedMCQA,Dental,Cells of epidermis,advanced,1,Epidermal stem cell niches and lineage commitment,A1,3
MED004,MedMCQA,Dental,Cells of epidermis,advanced,2,"Signaling pathways controlling keratinocyte differentiation (Notch, Wnt)",A1,3
MED004,MedMCQA,Dental,Cells of epidermis,advanced,3,Epidermal‑dermal cross‑talk and extracellular matrix remodeling,A1,3
MED004,MedMCQA,Dental,Cells of epidermis,advanced,4,"Cellular mechanisms underlying epidermal diseases (psoriasis, atopic dermatitis)",A1,1
MED004,MedMCQA,Dental,Cells of epidermis,advanced,5,Bioengineering of skin substitutes using epidermal cells,A1,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,1,"Freud's structural model: id, ego, superego",A1,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,2,The unconscious mind and repression,A1,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,3,Psychosexual development stages,A1,2
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,4,Dream symbolism and interpretation,A1,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,basic,5,Free association technique,A1,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,intermediate,1,"Defense mechanisms: repression, denial, projection",A1,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,intermediate,2,Transference and countertransference dynamics,A1,2
MED097,MedMCQA,Psychiatry,Psychoanalysis,intermediate,3,Attachment theory integration in psychoanalysis,A1,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,intermediate,4,Case formulation and treatment planning,A1,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,intermediate,5,Oedipus complex and its clinical relevance,A1,2
MED097,MedMCQA,Psychiatry,Psychoanalysis,advanced,1,Object relations theory and its clinical applications,A1,2
MED097,MedMCQA,Psychiatry,Psychoanalysis,advanced,2,Self psychology and ego development,A1,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,advanced,3,Psychoanalytic treatment of complex trauma,A1,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,advanced,4,Neuroscientific integration of psychoanalytic concepts,A1,3
MED097,MedMCQA,Psychiatry,Psychoanalysis,advanced,5,Comparative analysis of psychoanalytic schools and contemporary theories,A1,2
